# Copyright (C) 1991-2006 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 6.0 Build 202 06/20/2006 Service Pack 1 SJ Full Version
# File: C:\DE1\DE1_TOP\DE1_TOP.csv
# Generated on: Wed Sep 27 14:39:29 2006

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

From,To,Assignment Name,Value,Enabled
,GPIO_0[0],Location,PIN_A13,Yes
,GPIO_0[1],Location,PIN_B13,Yes
,GPIO_0[2],Location,PIN_A14,Yes
,GPIO_0[3],Location,PIN_B14,Yes
,GPIO_0[4],Location,PIN_A15,Yes
,GPIO_0[5],Location,PIN_B15,Yes
,GPIO_0[6],Location,PIN_A16,Yes
,GPIO_0[7],Location,PIN_B16,Yes
,GPIO_0[8],Location,PIN_A17,Yes
,GPIO_0[9],Location,PIN_B17,Yes
,GPIO_0[10],Location,PIN_A18,Yes
,GPIO_0[11],Location,PIN_B18,Yes
,GPIO_0[12],Location,PIN_A19,Yes
,GPIO_0[13],Location,PIN_B19,Yes
,GPIO_0[14],Location,PIN_A20,Yes
,GPIO_0[15],Location,PIN_B20,Yes
,GPIO_0[16],Location,PIN_C21,Yes
,GPIO_0[17],Location,PIN_C22,Yes
,GPIO_0[18],Location,PIN_D21,Yes
,GPIO_0[19],Location,PIN_D22,Yes
,GPIO_0[20],Location,PIN_E21,Yes
,GPIO_0[21],Location,PIN_E22,Yes
,GPIO_0[22],Location,PIN_F21,Yes
,GPIO_0[23],Location,PIN_F22,Yes
,GPIO_0[24],Location,PIN_G21,Yes
,GPIO_0[25],Location,PIN_G22,Yes
,GPIO_0[26],Location,PIN_J21,Yes
,GPIO_0[27],Location,PIN_J22,Yes
,GPIO_0[28],Location,PIN_K21,Yes
,GPIO_0[29],Location,PIN_K22,Yes
,GPIO_0[30],Location,PIN_J19,Yes
,GPIO_0[31],Location,PIN_J20,Yes
,GPIO_0[32],Location,PIN_J18,Yes
,GPIO_0[33],Location,PIN_K20,Yes
,GPIO_0[34],Location,PIN_L19,Yes
,GPIO_0[35],Location,PIN_L18,Yes
,GPIO_1[0],Location,PIN_H12,Yes
,GPIO_1[1],Location,PIN_H13,Yes
,GPIO_1[2],Location,PIN_H14,Yes
,GPIO_1[3],Location,PIN_G15,Yes
,GPIO_1[4],Location,PIN_E14,Yes
,GPIO_1[5],Location,PIN_E15,Yes
,GPIO_1[6],Location,PIN_F15,Yes
,GPIO_1[7],Location,PIN_G16,Yes
,GPIO_1[8],Location,PIN_F12,Yes
,GPIO_1[9],Location,PIN_F13,Yes
,GPIO_1[10],Location,PIN_C14,Yes
,GPIO_1[11],Location,PIN_D14,Yes
,GPIO_1[12],Location,PIN_D15,Yes
,GPIO_1[13],Location,PIN_D16,Yes
,GPIO_1[14],Location,PIN_C17,Yes
,GPIO_1[15],Location,PIN_C18,Yes
,GPIO_1[16],Location,PIN_C19,Yes
,GPIO_1[17],Location,PIN_C20,Yes
,GPIO_1[18],Location,PIN_D19,Yes
,GPIO_1[19],Location,PIN_D20,Yes
,GPIO_1[20],Location,PIN_E20,Yes
,GPIO_1[21],Location,PIN_F20,Yes
,GPIO_1[22],Location,PIN_E19,Yes
,GPIO_1[23],Location,PIN_E18,Yes
,GPIO_1[24],Location,PIN_G20,Yes
,GPIO_1[25],Location,PIN_G18,Yes
,GPIO_1[26],Location,PIN_G17,Yes
,GPIO_1[27],Location,PIN_H17,Yes
,GPIO_1[28],Location,PIN_J15,Yes
,GPIO_1[29],Location,PIN_H18,Yes
,GPIO_1[30],Location,PIN_N22,Yes
,GPIO_1[31],Location,PIN_N21,Yes
,GPIO_1[32],Location,PIN_P15,Yes
,GPIO_1[33],Location,PIN_N15,Yes
,GPIO_1[34],Location,PIN_P17,Yes
,GPIO_1[35],Location,PIN_P18,Yes
,GPIO_0[0],I/O Standard,LVTTL,Yes
,GPIO_0[1],I/O Standard,LVTTL,Yes
,GPIO_0[2],I/O Standard,LVTTL,Yes
,GPIO_0[3],I/O Standard,LVTTL,Yes
,GPIO_0[4],I/O Standard,LVTTL,Yes
,GPIO_0[5],I/O Standard,LVTTL,Yes
,GPIO_0[6],I/O Standard,LVTTL,Yes
,GPIO_0[7],I/O Standard,LVTTL,Yes
,GPIO_0[8],I/O Standard,LVTTL,Yes
,GPIO_0[9],I/O Standard,LVTTL,Yes
,GPIO_0[10],I/O Standard,LVTTL,Yes
,GPIO_0[11],I/O Standard,LVTTL,Yes
,GPIO_0[12],I/O Standard,LVTTL,Yes
,GPIO_0[13],I/O Standard,LVTTL,Yes
,GPIO_0[14],I/O Standard,LVTTL,Yes
,GPIO_0[15],I/O Standard,LVTTL,Yes
,GPIO_0[16],I/O Standard,LVTTL,Yes
,GPIO_0[17],I/O Standard,LVTTL,Yes
,GPIO_0[18],I/O Standard,LVTTL,Yes
,GPIO_0[19],I/O Standard,LVTTL,Yes
,GPIO_0[20],I/O Standard,LVTTL,Yes
,GPIO_0[21],I/O Standard,LVTTL,Yes
,GPIO_0[22],I/O Standard,LVTTL,Yes
